[2025-12-14 20:04:08] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:04:08] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:04:09] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:04:09] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:04:09] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:04:10] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:04:11] TRAFFIC ALERT | count=8 | threshold=5
[2025-12-14 20:04:14] TRAFFIC ALERT | count=7 | threshold=5
[2025-12-14 20:04:14] TRAFFIC ALERT | count=9 | threshold=5
[2025-12-14 20:04:16] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:05:48] CROWD ALERT | count=14 | threshold=6
[2025-12-14 20:17:39] CROWD ALERT | count=14 | threshold=6
[2025-12-14 20:19:24] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:19:26] TRAFFIC ALERT | count=7 | threshold=5
[2025-12-14 20:19:26] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:19:32] TRAFFIC ALERT | count=7 | threshold=5
[2025-12-14 20:19:33] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:19:34] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:19:35] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:19:36] TRAFFIC ALERT | count=6 | threshold=5
[2025-12-14 20:29:43] TRAFFIC ALERT | count=9 | threshold=5
[2025-12-14 20:33:32] TRAFFIC ALERT | count=15 | threshold=5
[2025-12-14 20:33:52] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:33:53] TRAFFIC ALERT | count=10 | threshold=5
[2025-12-14 20:33:54] TRAFFIC ALERT | count=16 | threshold=5
[2025-12-14 20:33:55] TRAFFIC ALERT | count=15 | threshold=5
[2025-12-14 20:33:56] TRAFFIC ALERT | count=11 | threshold=5
[2025-12-14 20:34:12] TRAFFIC ALERT | count=5 | threshold=5
[2025-12-14 20:36:24] CROWD ALERT | count=14 | threshold=6
[2025-12-14 22:51:29] CROWD ALERT | count=14 | threshold=6
[2025-12-14 23:19:15] CROWD ALERT | count=15 | threshold=14
[2025-12-14 23:55:15] TRAFFIC ALERT | count=21 | threshold=12
